OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,TotalParoRegistrado,PAD_1C02,PAD_1_COD_PROV,PAD_1_COD_CCAA,Shape__Area,Shape__Length
10182,13066,Pozuelo de Calatrava,13,08,398,3382,,,164598869.51709,73332.5252963534
10183,13067,"Pozuelos de Calatrava, Los",13,08,58,385,,,138976158.261841,50685.7260698094
10184,13068,Puebla de Don Rodrigo,13,08,156,1213,,,706556857.272217,139891.964642047
10185,13069,Puebla del Príncipe,13,08,71,729,,,55648163.4786377,31178.6238417461
10186,13070,Puerto Lápice,13,08,83,947,,,91656184.230835,60722.9402180433
10187,13071,Puertollano,13,08,6376,48477,,,372304368.071777,103744.795433546
10188,13072,Retuerta del Bullaque,13,08,100,991,,,1097444568.40149,205682.747493981
10189,13073,Saceruela,13,08,94,596,,,409572269.574463,89636.7700623371
10190,13074,San Carlos del Valle,13,08,89,1143,,,95554871.8226318,35648.3454100136
10191,13075,San Lorenzo de Calatrava,13,08,9,212,,,172725221.870972,67309.8104715071
10192,13076,Santa Cruz de los Cáñamos,13,08,83,530,,,29079676.5163574,20543.25012542
10193,13077,Santa Cruz de Mudela,13,08,412,4195,,,220947035.880005,70527.6460525773
10194,13078,Socuéllamos,13,08,1163,12342,,,624771377.770508,126498.942335574
10195,13079,"Solana, La",13,08,1776,15640,,,222029647.037354,69834.7685517778
10196,13080,Solana del Pino,13,08,43,336,,,294120180.108765,82696.0692112172
10197,13081,Terrinches,13,08,102,711,,,90995132.6508789,41739.2028109182
10198,13082,Tomelloso,13,08,4518,36281,,,403315630.014526,103836.476853061
10199,13083,Torralba de Calatrava,13,08,286,3006,,,168671328.692261,85730.3275097324
10200,13084,Torre de Juan Abad,13,08,86,1035,,,655429627.450195,227288.686463103
10201,13085,Torrenueva,13,08,275,2788,,,233321367.342896,62775.4121616178
10202,13086,Valdemanco del Esteras,13,08,13,178,,,235906317.839355,97614.3333345751
10203,13087,Valdepeñas,13,08,3064,30224,,,803761030.746216,147133.12270242
10204,13088,Valenzuela de Calatrava,13,08,90,700,,,72755320.7553711,39997.6892534201
10205,13089,Villahermosa,13,08,142,1908,,,598753669.013306,103413.362109134
10206,13090,Villamanrique,13,08,133,1210,,,605155383.664673,135466.879708872
10207,13091,Villamayor de Calatrava,13,08,56,615,,,238739600.493164,76261.1893585284
10208,13092,Villanueva de la Fuente,13,08,309,2185,,,212250381.149414,67016.3665609623
10209,13093,Villanueva de los Infantes,13,08,401,5064,,,222203960.483643,67172.3167545842
10210,13094,Villanueva de San Carlos,13,08,18,308,,,179160219.715698,64085.6993438076
10211,13095,Villar del Pozo,13,08,4,89,,,21847482.6120605,28523.3797552155
10212,13096,Villarrubia de los Ojos,13,08,1339,10026,,,470185135.067871,109811.714394398
10213,13097,Villarta de San Juan,13,08,307,2863,,,110099803.868652,54635.0865649204
10214,13098,Viso del Marqués,13,08,218,2378,,,872142945.731689,200910.337795592
10215,13901,"Robledo, El",13,08,142,1111,,,175963989.269043,64217.3515340476
10216,13902,Ruidera,13,08,81,558,,,65002610.3508301,50297.0175280055
10217,13903,Arenales de San Gregorio,13,08,61,622,,,52156417.5053711,36984.2297704572
10218,13904,Llanos del Caudillo,13,08,70,722,,,33254402.7478027,27582.5593111841
10219,14001,Adamuz,14,01,246,4236,,,538979145.228271,125465.38380166
10220,14002,Aguilar de la Frontera,14,01,929,13476,,,264627936.629883,143254.065483389
10221,14003,Alcaracejos,14,01,165,1496,,,285557109.807373,106711.694349515
10222,14004,Almedinilla,14,01,125,2455,,,88209792.4364014,47044.7888082956
10223,14005,Almodóvar del Río,14,01,1060,7982,,,277866152.333252,100184.052686355
10224,14006,Añora,14,01,161,1553,,,183192316.958984,112347.048260333
10225,14007,Baena,14,01,1196,19523,,,579727510.373535,130301.58847912
10226,14008,Belalcázar,14,01,436,3336,,,584145413.730957,148011.550402101
10227,14009,Belmez,14,01,483,2913,,,336944731.76123,93387.5861333792
10228,14010,Benamejí,14,01,268,5025,,,84325324.6608887,46892.4029553694
10229,14011,"Blázquez, Los",14,01,106,691,,,167656640.151123,58935.0055156862
10230,14012,Bujalance,14,01,456,7599,,,197837545.411499,86319.3900898591
10231,14013,Cabra,14,01,1662,20557,,,364606223.510986,84042.4896554877
