id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
c1CnztYPJwV4ykFq7wddvQ==,-34.5932249,-58.3784342,Retiro,10.0,4.0,298.0,295.0,800000.0,Departamento
5ZVy3odeDe5UUAxzrZjKZg==,-34.563614,-58.43874,Palermo,1.0,1.0,36.0,27.0,115000.0,PH
PhgVgupYP1zfUEHMQwW+xA==,-34.64439392,-58.36156464,Boca,5.0,1.0,480.0,400.0,150000.0,Casa
34Y5lOrHDxekD5/78ouBKw==,-34.63681412,-58.47360611,Floresta,2.0,2.0,229.0,173.0,490000.0,Casa
iqNlUWRI2FIWv1S0Qz+UHg==,-34.60638428,-58.46030807,Caballito,3.0,3.0,201.0,161.0,260000.0,Casa
WXe/IP6/AB+/IMm9o5NxOg==,-34.63196564,-58.44859695,Caballito,3.0,5.0,500.0,500.0,1300000.0,Casa
sgSVWCvLEKnsp1s2ZioX5Q==,-34.66151047,-58.43349838,Villa Soldati,2.0,1.0,73.0,66.0,110000.0,Casa
w+T5N3VQ6odm6lPctJXsDA==,-34.66151047,-58.43349838,Villa Soldati,2.0,1.0,66.0,66.0,90000.0,Casa
DYJveG09saRDJ+UNeIxTJQ==,-34.58058548,-58.48661041,Villa Urquiza,3.0,2.0,78.0,78.0,200000.0,Casa
EtIQ8HJbfgedIyyIcL2lfw==,-34.63894272,-58.39940643,Parque Patricios,3.0,4.0,323.0,185.0,390000.0,Casa
51Dv1H2QCUGfbNRhQ7ynuA==,-34.623228,-58.463375,Flores,1.0,1.0,38.0,38.0,80000.0,Departamento
fO4MVzxLcpoDYxpmankZ/g==,-34.61118317,-58.46816254,Flores,1.0,1.0,48.0,39.0,79900.0,Departamento
Rs7eNuVIx6cn1Gm1ydC8ow==,-34.54398346,-58.46258545,Nuñez,2.0,3.0,65.0,65.0,215000.0,Departamento
Lkj1i1NEXpLymk3GZ8+zlg==,-34.5447583,-58.4678373,Nuñez,1.0,1.0,36.0,32.0,108000.0,Departamento
TXC+h3OnGv7GlzskW436eg==,-34.54425049,-58.46146011,Nuñez,2.0,2.0,105.0,95.0,370000.0,Departamento
